date_id,release_date,release_month,release_year
228,2015-03-12,March,2015
229,2015-03-11,March,2015
230,2018-02-16,February,2018
231,2018-04-23,April,2018
232,2015-10-15,October,2015
233,2018-02-20,February,2018
234,2018-01-16,January,2018
235,2013-03-06,March,2013
236,2012-01-17,January,2012
237,2017-06-10,June,2017
238,2018-03-08,March,2018
239,2017-01-02,January,2017
240,2016-03-14,March,2016
241,2017-11-05,November,2017
242,2018-02-23,February,2018
243,2016-11-07,November,2016
244,2011-06-29,June,2011
245,2013-02-12,February,2013
246,2018-01-09,January,2018
247,2018-07-01,July,2018
248,2017-01-08,January,2017
249,2017-12-20,December,2017
250,2016-11-03,November,2016
251,2018-06-30,June,2018
252,2016-06-30,June,2016
253,2016-12-17,December,2016
254,2018-02-21,February,2018
255,2018-01-11,January,2018
256,2018-05-07,May,2018
257,2017-06-05,June,2017
258,2014-04-30,April,2014
259,2017-06-18,June,2017
260,2017-10-12,October,2017
261,2017-03-08,March,2017
262,2018-04-17,April,2018
263,2018-03-06,March,2018
264,2018-04-13,April,2018
265,2018-04-11,April,2018
266,2017-12-22,December,2017
267,2018-02-27,February,2018
268,2018-05-03,May,2018
269,2017-12-21,December,2017
270,2015-10-19,October,2015
271,2017-11-30,November,2017
272,2018-05-11,May,2018
273,2017-04-12,April,2017
274,2017-06-28,June,2017
275,2017-03-14,March,2017
276,2017-10-15,October,2017
277,2017-07-28,July,2017
278,2018-03-16,March,2018
279,2018-06-04,June,2018
280,2016-11-22,November,2016
281,2018-02-01,February,2018
282,2017-06-29,June,2017
283,2017-07-07,July,2017
284,2017-07-14,July,2017
285,2017-10-06,October,2017
286,2018-03-23,March,2018
287,2017-07-12,July,2017
288,2017-11-22,November,2017
289,2017-03-07,March,2017
290,2017-10-04,October,2017
291,2016-07-22,July,2016
292,2017-05-18,May,2017
293,2018-02-02,February,2018
294,2016-02-18,February,2016
295,2017-03-15,March,2017
296,2016-03-05,March,2016
297,2016-02-02,February,2016
298,2017-01-13,January,2017
299,2018-05-08,May,2018
300,2015-12-01,December,2015
301,2015-06-17,June,2015
302,2017-03-23,March,2017
303,2017-07-03,July,2017
304,2017-01-26,January,2017
305,2014-11-14,November,2014
306,2017-12-13,December,2017
307,2018-05-01,May,2018
308,2016-02-09,February,2016
309,2016-06-16,June,2016
310,2013-05-22,May,2013
311,2016-10-28,October,2016
312,2014-12-09,December,2014
313,2017-12-09,December,2017
314,2016-12-30,December,2016
315,2016-02-05,February,2016
316,2016-04-14,April,2016
317,2016-02-11,February,2016
318,2014-11-30,November,2014
319,2018-04-06,April,2018
320,2016-10-03,October,2016
321,2017-11-15,November,2017
322,2014-12-03,December,2014
323,2017-04-18,April,2017
324,2016-01-24,January,2016
325,2014-10-22,October,2014
326,2012-11-22,November,2012
327,2015-12-16,December,2015
328,2013-11-05,November,2013
329,2015-05-26,May,2015
330,2018-03-14,March,2018
331,2016-12-08,December,2016
332,2017-10-05,October,2017
333,2016-06-11,June,2016
334,2018-01-02,January,2018
335,2017-03-02,March,2017
336,2017-10-03,October,2017
337,2015-05-06,May,2015
338,2015-12-22,December,2015
339,2018-01-14,January,2018
340,2017-05-09,May,2017
341,2017-10-02,October,2017
342,2018-03-13,March,2018
343,2017-10-10,October,2017
344,2016-10-13,October,2016
345,2016-10-17,October,2016
346,2017-12-08,December,2017
347,2018-03-24,March,2018
348,2013-10-22,October,2013
349,2017-12-23,December,2017
350,2018-04-04,April,2018
351,2017-06-01,June,2017
352,2018-04-24,April,2018
353,2015-01-18,January,2015
354,2015-03-14,March,2015
355,2015-05-10,May,2015
356,2017-02-25,February,2017
357,2018-04-16,April,2018
358,2017-11-20,November,2017
359,2016-10-25,October,2016
360,2015-01-20,January,2015
361,2018-01-30,January,2018
362,2018-06-24,June,2018
363,2016-06-08,June,2016
364,2016-02-29,February,2016
365,2015-07-25,July,2015
366,2015-03-05,March,2015
367,2018-01-22,January,2018
368,2018-02-06,February,2018
369,2015-07-29,July,2015
370,2017-11-08,November,2017
371,2016-11-02,November,2016
372,2017-07-29,July,2017
373,2017-11-10,November,2017
374,2016-03-25,March,2016
375,2015-02-10,February,2015
376,2017-03-03,March,2017
377,2015-02-11,February,2015
378,2016-10-19,October,2016
379,2017-04-06,April,2017
380,2018-02-11,February,2018
381,2014-11-06,November,2014
382,2017-03-21,March,2017
383,2016-07-18,July,2016
384,2017-06-23,June,2017
385,2016-01-07,January,2016
386,2017-03-16,March,2017
387,2016-12-06,December,2016
388,2016-03-21,March,2016
389,2016-07-05,July,2016
390,2017-11-13,November,2017
391,2015-07-14,July,2015
392,2014-11-21,November,2014
393,2014-04-22,April,2014
394,2017-07-11,July,2017
395,2017-11-18,November,2017
396,2018-02-05,February,2018
397,2017-04-28,April,2017
398,2014-04-25,April,2014
399,2017-12-02,December,2017
400,2017-03-09,March,2017
401,2018-02-26,February,2018
402,2017-12-01,December,2017
403,2017-12-10,December,2017
404,2017-01-22,January,2017
405,2016-10-20,October,2016
406,2016-12-07,December,2016
407,2016-05-11,May,2016
408,2014-04-04,April,2014
409,2015-01-07,January,2015
410,2018-03-17,March,2018
411,2016-12-24,December,2016
412,2014-05-01,May,2014
413,2016-11-28,November,2016
414,2014-06-24,June,2014
415,2017-10-29,October,2017
416,2016-05-27,May,2016
417,2016-04-22,April,2016
418,2016-12-11,December,2016
419,2015-12-19,December,2015
420,2017-10-30,October,2017
421,2017-06-17,June,2017
422,2017-11-12,November,2017
423,2016-12-25,December,2016
424,2016-04-25,April,2016
425,2018-01-08,January,2018
426,2017-11-01,November,2017
427,2017-01-09,January,2017
428,2017-12-30,December,2017
429,2017-01-07,January,2017
430,2018-04-01,April,2018
431,2018-03-19,March,2018
432,2017-10-31,October,2017
433,2016-10-18,October,2016
434,2015-12-03,December,2015
435,2014-10-30,October,2014
436,2017-05-25,May,2017
437,2018-02-19,February,2018
438,2017-11-02,November,2017
439,2016-12-04,December,2016
440,2017-01-05,January,2017
441,2018-04-22,April,2018
442,2017-06-16,June,2017
443,2017-11-24,November,2017
444,2015-06-11,June,2015
445,2016-04-12,April,2016
446,2017-05-19,May,2017
447,2015-05-04,May,2015
448,2016-12-22,December,2016
449,2016-10-22,October,2016
450,2016-03-31,March,2016
451,2017-06-20,June,2017
452,2017-12-05,December,2017
453,2014-07-31,July,2014
454,2017-05-13,May,2017
455,2017-06-24,June,2017
456,2017-12-16,December,2017
457,2016-04-04,April,2016
458,2016-01-20,January,2016
459,2017-06-03,June,2017
460,2017-01-03,January,2017
461,2014-05-16,May,2014
462,2018-03-02,March,2018
463,2018-01-18,January,2018
464,2015-11-26,November,2015
465,2017-05-03,May,2017
466,2017-10-23,October,2017
467,2016-10-06,October,2016
468,2017-02-21,February,2017
469,2016-05-12,May,2016
470,2017-12-26,December,2017
471,2016-07-24,July,2016
472,2016-10-07,October,2016
473,2016-12-15,December,2016
474,2017-04-21,April,2017
475,2016-03-15,March,2016
476,2016-07-19,July,2016
477,2016-07-12,July,2016
478,2017-12-07,December,2017
479,2017-01-25,January,2017
480,2018-03-15,March,2018
481,2018-05-19,May,2018
482,2013-04-10,April,2013
483,2017-10-21,October,2017
484,2015-12-07,December,2015
485,2016-01-01,January,2016
486,2016-04-07,April,2016
487,2017-11-03,November,2017
488,2017-02-08,February,2017
489,2015-12-14,December,2015
490,2015-05-19,May,2015
491,2015-11-20,November,2015
492,2018-02-04,February,2018
493,2016-01-04,January,2016
494,2017-12-19,December,2017
495,2016-11-16,November,2016
496,2017-10-09,October,2017
497,2017-10-22,October,2017
498,2018-04-30,April,2018
499,2017-10-20,October,2017
500,2018-03-12,March,2018
501,2014-05-14,May,2014
502,2014-10-17,October,2014
503,2018-06-17,June,2018
504,2018-05-13,May,2018
505,2017-05-08,May,2017
506,2014-01-13,January,2014
507,2016-05-01,May,2016
508,2015-02-03,February,2015
509,2017-03-27,March,2017
510,2016-04-21,April,2016
511,2017-01-11,January,2017
512,2017-11-17,November,2017
513,2017-04-04,April,2017
514,2016-06-06,June,2016
515,2016-04-02,April,2016
516,2017-02-12,February,2017
517,2018-03-11,March,2018
518,2017-03-20,March,2017
519,2017-07-09,July,2017
520,2018-01-12,January,2018
521,2017-05-17,May,2017
522,2016-07-15,July,2016
523,2018-02-09,February,2018
524,2017-03-28,March,2017
525,2015-05-25,May,2015
526,2015-07-01,July,2015
527,2017-03-06,March,2017
528,2016-02-15,February,2016
529,2014-12-26,December,2014
530,2017-05-31,May,2017
531,2011-12-03,December,2011
532,2017-04-25,April,2017
533,2018-05-06,May,2018
534,2018-04-14,April,2018
535,2018-02-12,February,2018
536,2015-03-16,March,2015
537,2017-04-01,April,2017
538,2017-05-16,May,2017
539,2017-03-04,March,2017
540,2014-07-12,July,2014
541,2016-03-16,March,2016
542,2017-12-03,December,2017
543,2015-12-08,December,2015
544,2017-05-15,May,2017
545,2014-02-21,February,2014
546,2017-05-14,May,2017
547,2016-06-20,June,2016
548,2018-04-28,April,2018
549,2017-05-29,May,2017
550,2018-05-05,May,2018
551,2017-02-27,February,2017
552,2016-07-08,July,2016
553,2017-01-31,January,2017
554,2016-02-12,February,2016
555,2014-11-15,November,2014
556,2017-10-24,October,2017
557,2016-04-20,April,2016
558,2016-02-24,February,2016
559,2012-11-08,November,2012
560,2013-05-14,May,2013
561,2018-04-08,April,2018
562,2017-06-25,June,2017
563,2018-03-03,March,2018
564,2016-07-23,July,2016
565,2014-02-05,February,2014
566,2017-10-07,October,2017
567,2018-01-28,January,2018
568,2018-02-24,February,2018
569,2017-06-22,June,2017
570,2016-11-19,November,2016
571,2017-01-04,January,2017
572,2014-04-11,April,2014
573,2014-02-26,February,2014
574,2017-12-31,December,2017
575,2015-01-25,January,2015
576,2017-10-19,October,2017
577,2018-03-04,March,2018
578,2015-11-13,November,2015
579,2017-01-23,January,2017
580,2015-07-28,July,2015
581,2014-11-05,November,2014
582,2016-07-31,July,2016
583,2017-06-30,June,2017
584,2016-04-08,April,2016
585,2017-03-13,March,2017
586,2014-07-10,July,2014
587,2015-07-10,July,2015
588,2015-11-03,November,2015
589,2016-06-15,June,2016
590,2016-06-21,June,2016
591,2016-10-27,October,2016
592,2017-02-23,February,2017
593,2017-02-02,February,2017
594,2016-12-31,December,2016
595,2012-10-08,October,2012
596,2014-07-09,July,2014
597,2016-11-23,November,2016
598,2017-07-19,July,2017
599,2015-12-11,December,2015
600,2016-07-30,July,2016
601,2015-01-08,January,2015
602,2017-06-02,June,2017
603,2015-11-27,November,2015
604,2017-06-08,June,2017
605,2014-10-28,October,2014
606,2015-07-30,July,2015
607,2015-12-28,December,2015
608,2014-07-28,July,2014
609,2013-12-17,December,2013
610,2016-05-07,May,2016
611,2014-05-03,May,2014
612,2016-12-21,December,2016
613,2016-07-26,July,2016
614,2014-05-26,May,2014
615,2016-03-23,March,2016
616,2014-01-19,January,2014
617,2015-12-31,December,2015
618,2018-01-04,January,2018
619,2013-12-13,December,2013
620,2013-11-12,November,2013
621,2017-06-27,June,2017
622,2014-12-31,December,2014
623,2014-01-24,January,2014
624,2015-01-01,January,2015
625,2015-10-09,October,2015
626,2015-12-10,December,2015
627,2015-06-15,June,2015
628,2016-10-26,October,2016
629,2016-12-09,December,2016
630,2013-01-25,January,2013
631,2013-12-19,December,2013
632,2012-11-28,November,2012
633,2017-05-01,May,2017
634,2017-05-02,May,2017
635,2014-11-20,November,2014
636,2015-03-20,March,2015
637,2017-06-09,June,2017
638,2017-05-23,May,2017
639,2017-05-05,May,2017
640,2017-06-26,June,2017
641,2017-12-12,December,2017
642,2017-04-30,April,2017
643,2017-04-03,April,2017
644,2017-10-28,October,2017
645,2011-05-12,May,2011
646,2017-06-21,June,2017
647,2013-10-01,October,2013
648,2017-05-11,May,2017
649,2018-01-10,January,2018
650,2017-04-22,April,2017
651,2017-05-26,May,2017
652,2017-11-04,November,2017
653,2015-06-03,June,2015
654,2013-02-18,February,2013
655,2016-03-07,March,2016
656,2018-01-27,January,2018
657,2016-06-13,June,2016
658,2017-03-24,March,2017
659,2013-06-04,June,2013
660,2017-03-17,March,2017
661,2016-11-11,November,2016
662,2017-02-26,February,2017
663,2015-04-26,April,2015
664,2016-03-01,March,2016
665,2018-03-10,March,2018
666,2015-05-02,May,2015
667,2015-02-15,February,2015
668,2017-03-25,March,2017
669,2015-06-24,June,2015
670,2017-07-18,July,2017
671,2018-02-17,February,2018
672,2017-12-06,December,2017
673,2016-10-08,October,2016
674,2017-04-05,April,2017
675,2016-03-10,March,2016
676,2015-04-10,April,2015
677,2016-10-21,October,2016
678,2017-05-10,May,2017
679,2016-02-23,February,2016
680,2016-12-23,December,2016
681,2016-06-02,June,2016
682,2016-03-08,March,2016
683,2015-05-14,May,2015
684,2016-03-22,March,2016
685,2013-11-01,November,2013
686,2015-07-19,July,2015
687,2017-07-30,July,2017
688,2016-01-19,January,2016
689,2015-11-04,November,2015
690,2015-10-14,October,2015
691,2016-06-22,June,2016
692,2014-02-23,February,2014
693,2016-01-23,January,2016
694,2017-05-24,May,2017
695,2013-07-18,July,2013
696,2015-07-26,July,2015
697,2015-04-02,April,2015
698,2017-06-06,June,2017
699,2017-11-26,November,2017
700,2014-12-02,December,2014
701,2017-05-22,May,2017
702,2018-01-26,January,2018
703,2016-05-14,May,2016
704,2016-07-01,July,2016
