date_id,release_date,release_month,release_year
996,2011-04-11,April,2011
997,2013-11-22,November,2013
998,2014-07-02,July,2014
999,2014-04-10,April,2014
1000,2014-07-03,July,2014
1001,2013-06-25,June,2013
1002,2013-10-04,October,2013
1003,2013-02-03,February,2013
1004,2014-11-26,November,2014
1005,2014-02-22,February,2014
1006,2015-01-31,January,2015
1007,2014-03-13,March,2014
1008,2013-02-10,February,2013
1009,2015-10-21,October,2015
1010,2016-10-30,October,2016
1011,2014-11-03,November,2014
1012,2016-02-01,February,2016
1013,2015-02-05,February,2015
1014,2016-03-19,March,2016
1015,2012-11-11,November,2012
1016,2013-07-17,July,2013
1017,2013-11-20,November,2013
1018,2015-01-15,January,2015
1019,2016-10-31,October,2016
1020,2013-12-05,December,2013
1021,2014-05-19,May,2014
1022,2013-06-05,June,2013
1023,2014-02-17,February,2014
1024,2017-04-24,April,2017
1025,2017-03-12,March,2017
1026,2016-04-19,April,2016
1027,2014-11-27,November,2014
1028,2016-04-06,April,2016
1029,2015-01-09,January,2015
1030,2014-03-11,March,2014
1031,2016-05-10,May,2016
1032,2016-05-31,May,2016
1033,2015-06-16,June,2015
1034,2011-04-18,April,2011
1035,2015-11-28,November,2015
1036,2014-12-13,December,2014
1037,2014-05-06,May,2014
1038,2014-12-17,December,2014
1039,2016-11-18,November,2016
1040,2012-12-19,December,2012
1041,2016-06-28,June,2016
1042,2014-05-18,May,2014
1043,2014-11-09,November,2014
1044,2014-06-03,June,2014
1045,2014-12-29,December,2014
1046,2016-11-20,November,2016
1047,2015-02-12,February,2015
1048,2014-12-06,December,2014
1049,2017-03-30,March,2017
1050,2013-10-11,October,2013
1051,2016-03-11,March,2016
1052,2016-01-11,January,2016
1053,2014-03-03,March,2014
1054,2014-12-18,December,2014
1055,2017-04-10,April,2017
1056,2017-01-15,January,2017
1057,2017-04-15,April,2017
1058,2015-05-24,May,2015
1059,2014-07-04,July,2014
1060,2016-04-03,April,2016
1061,2016-04-23,April,2016
1062,2013-05-25,May,2013
1063,2014-11-04,November,2014
1064,2016-01-18,January,2016
1065,2015-10-01,October,2015
1066,2017-04-14,April,2017
1067,2015-03-29,March,2015
1068,2016-10-02,October,2016
1069,2017-01-18,January,2017
1070,2016-05-02,May,2016
1071,2017-06-11,June,2017
1072,2013-04-05,April,2013
1073,2016-11-24,November,2016
1074,2017-06-04,June,2017
1075,2013-10-07,October,2013
1076,2016-05-03,May,2016
1077,2014-05-24,May,2014
1078,2016-01-17,January,2016
1079,2014-04-23,April,2014
1080,2014-10-29,October,2014
1081,2015-04-24,April,2015
1082,2016-01-05,January,2016
1083,2013-11-18,November,2013
1084,2013-07-20,July,2013
1085,2013-12-23,December,2013
1086,2011-10-12,October,2011
1087,2013-02-15,February,2013
1088,2015-04-23,April,2015
1089,2014-01-08,January,2014
1090,2012-01-12,January,2012
1091,2017-02-07,February,2017
1092,2014-12-22,December,2014
1093,2015-11-08,November,2015
1094,2016-12-13,December,2016
1095,2016-12-03,December,2016
1096,2014-07-01,July,2014
1097,2013-07-27,July,2013
1098,2015-12-20,December,2015
1099,2014-07-26,July,2014
1100,2012-06-27,June,2012
1101,2017-05-20,May,2017
1102,2014-01-15,January,2014
1103,2015-06-23,June,2015
1104,2012-01-18,January,2012
1105,2014-03-05,March,2014
1106,2016-05-05,May,2016
1107,2014-03-09,March,2014
1108,2016-05-22,May,2016
1109,2011-03-16,March,2011
1110,2017-04-02,April,2017
1111,2015-12-09,December,2015
1112,2016-06-18,June,2016
1113,2015-01-30,January,2015
1114,2016-02-10,February,2016
1115,2014-02-02,February,2014
1116,2011-06-26,June,2011
1117,2014-02-12,February,2014
1118,2017-02-10,February,2017
1119,2016-03-03,March,2016
1120,2014-03-07,March,2014
1121,2016-03-12,March,2016
1122,2017-04-16,April,2017
1123,2016-01-30,January,2016
1124,2013-06-12,June,2013
1125,2016-05-15,May,2016
1126,2015-05-13,May,2015
1127,2015-12-30,December,2015
1128,2015-01-13,January,2015
1129,2016-01-13,January,2016
1130,2013-07-31,July,2013
1131,2016-07-10,July,2016
1132,2015-12-26,December,2015
1133,2015-11-25,November,2015
1134,2015-11-23,November,2015
1135,2012-06-17,June,2012
1136,2015-02-27,February,2015
1137,2013-12-18,December,2013
1138,2012-02-06,February,2012
1139,2014-11-25,November,2014
1140,2016-05-19,May,2016
1141,2016-06-19,June,2016
1142,2014-01-20,January,2014
1143,2014-02-16,February,2014
1144,2014-03-23,March,2014
